Text,image_url,image_data,category
This is Freddy the Teddy he was given to me by my first real boyfriend. We didn't work out because we had different life goals. He wanted to be a musician and travel around the country and I'm going into the medical field. Our time together was fun but I knew we wanted different things out of life. So he got his guitar and i got Freddy. ,https://media.rtm.com/thegreatexchange/large/e7d1e63b-88dd-4159-b025-82a0a83f8ff5.jpeg,https://media.rtm.com/thegreatexchange/large/e7d1e63b-88dd-4159-b025-82a0a83f8ff5.jpeg,GIFT
This ugly little thing is a stress squeezy thing! My ex’s sister gave it to him and we lived together so it just sat on my work desk! He decided to move out one day without telling me but left some stuff behind including this thing! I would squeeze it like its him but I’ve let that hurt go! So long ugly stress man! ,https://media.rtm.com/thegreatexchange/large/a20d27bd-6209-49ae-b740-e09cb4649769.jpeg,https://media.rtm.com/thegreatexchange/large/a20d27bd-6209-49ae-b740-e09cb4649769.jpeg,CLOTHING
I have this thriving money plant from my ex from when we first moved in together and then when we broke up I kept the plant and now live with my current boyfriend. This was probably the best gift my ex could’ve gotten me because it’s supposed to bring in money and luck and life is goood so that’s one thing he did right :),https://media.rtm.com/thegreatexchange/large/5b7639ef-6d17-4a25-b090-fde825a950d4.jpeg,https://media.rtm.com/thegreatexchange/large/5b7639ef-6d17-4a25-b090-fde825a950d4.jpeg,JEWELARY
I received this blanket for Valentine’s Day back in high school. I had a Boston terrier at the time and was completely obsessed with anything related to the breed. I’m a sucker for blankets so I never got rid of it. It’s now used as a dog blanket for our current bostons. ,https://media.rtm.com/thegreatexchange/large/633975b9-d1de-44c4-abec-f7968eec9574.jpeg,https://media.rtm.com/thegreatexchange/large/633975b9-d1de-44c4-abec-f7968eec9574.jpeg,ANIMAL
The typical $15 pharmacy-gas station Valentine's Day knock off build a bear. The key to my 19 year old heart. Little did they know they could go to the dollar store and the puppy love eyes would still be the same. 15 years and a whole lotta breakups later it's time to get rid of it! ,https://media.rtm.com/thegreatexchange/large/062fd308-efcf-4afc-a0b3-19af79889384.jpeg,https://media.rtm.com/thegreatexchange/large/062fd308-efcf-4afc-a0b3-19af79889384.jpeg,VALENTINE
I have these fruit notecards from my ex. I have no idea why he gave me notecards or what the occasion was. I’m actually kind of surprised I have any gifts from him because he broke up with me 5 times and it was always before a holiday or my birthday (twice before Valentine’s Day!),https://media.rtm.com/thegreatexchange/large/a386d924-4872-47a7-a29a-762b3abb3dea.jpeg,https://media.rtm.com/thegreatexchange/large/a386d924-4872-47a7-a29a-762b3abb3dea.jpeg,BIRTHDAY
I had an ex that turned out to be a jerk (duh) but had great taste in art. Why should I get rid of a perfectly excellent timepiece just because he couldn’t commit? The best part is I rarely even think about him when I look at it. Win/win 👍🏻,https://media.rtm.com/thegreatexchange/large/9887ead6-88bb-494b-bd14-12826e1799b7.jpeg,https://media.rtm.com/thegreatexchange/large/9887ead6-88bb-494b-bd14-12826e1799b7.jpeg,CLOTHING
My ex always wore these hideous sunglasses and I hated them. The day he broke up with me he left them at my house and I told him I’d never give them back.,https://media.rtm.com/thegreatexchange/large/44f8001a-2c27-4bef-9a2c-385ca383a5a5.jpeg,https://media.rtm.com/thegreatexchange/large/44f8001a-2c27-4bef-9a2c-385ca383a5a5.jpeg,CLOTHING
My ex played pro ball over seas. While there he saw this bottle and got it for me as a gift one year. I later found out that he was cheating on me and had a whole other girlfriend. After we broke up I kept it because it’s from Europe and thought it may be expensive but I’ve decided to give it to goodwill because I can’t look at it without thinking of him. So ready to get it out of my kitchen!,https://media.rtm.com/thegreatexchange/large/51704eb2-1977-4fd9-9276-67185899bf69.jpeg,https://media.rtm.com/thegreatexchange/large/51704eb2-1977-4fd9-9276-67185899bf69.jpeg,CHEATED
My ex gave me this flower before we broke up lol .I would love to exchange this flower for something new and different ,https://media.rtm.com/thegreatexchange/large/e51fa7b2-6792-4da5-b837-63d753feacef.jpeg,https://media.rtm.com/thegreatexchange/large/e51fa7b2-6792-4da5-b837-63d753feacef.jpeg,GIFT
Ahhh an ode to the ex that never listened well enough …. The  girls love yurman but she’s allergic to silver never stopped him from gifting it ! ,https://media.rtm.com/thegreatexchange/large/4c000d28-43a7-4376-87fc-ff59bb2f3220.jpeg,https://media.rtm.com/thegreatexchange/large/4c000d28-43a7-4376-87fc-ff59bb2f3220.jpeg,CLOTHING
Never ment to kept it. Just put it on a shelf and forgot about it. Never even opened it to eat the chocolates. ,https://media.rtm.com/thegreatexchange/large/d6c74198-95f3-43e9-9c72-7efe5ec2bb4f.jpeg,https://media.rtm.com/thegreatexchange/large/d6c74198-95f3-43e9-9c72-7efe5ec2bb4f.jpeg,FOOD
My ex and I went to a flea market two summers ago and I found this watch that I really liked and he bought it for me. Not sure why I never got rid of it,https://media.rtm.com/thegreatexchange/large/2493d554-be58-40e1-9335-cb289013041f.jpeg,https://media.rtm.com/thegreatexchange/large/2493d554-be58-40e1-9335-cb289013041f.jpeg,CLOTHING
Well it's kinda a.crazy item of my ex.. It's his old hairbrush. I use it everyday and I think of him when i.brush my hair. ,https://media.rtm.com/thegreatexchange/large/5a34157e-6c21-4f35-b953-cb3984fb80af.jpeg,https://media.rtm.com/thegreatexchange/large/5a34157e-6c21-4f35-b953-cb3984fb80af.jpeg,GIFT
I would like to exchange this ring I got for Valentines Day. It's gorgeous but that was the day everything went wrong and ended,https://media.rtm.com/thegreatexchange/large/a429ae9d-f288-441a-bbb6-f7d640271109.jpeg,https://media.rtm.com/thegreatexchange/large/a429ae9d-f288-441a-bbb6-f7d640271109.jpeg,VALENTINE
These roses was a I'm sorry for everything I have done would you please work it out.  These are a symbol to move on instead of falling into old patterns. ,https://media.rtm.com/thegreatexchange/large/85b23955-27f5-4bb2-8737-7141fd13ae6b.jpeg,https://media.rtm.com/thegreatexchange/large/85b23955-27f5-4bb2-8737-7141fd13ae6b.jpeg,ROSES
He got me this cheap probably used bracelet to apologize for not coming home. Now he can't ever come home haha!,https://media.rtm.com/thegreatexchange/large/752aef40-536e-42ac-af15-ded6efa36a56.jpeg,https://media.rtm.com/thegreatexchange/large/752aef40-536e-42ac-af15-ded6efa36a56.jpeg,JEWELARY
This ring my ex gave me for a promise ring. It was of course before he stepped out on our relationship. So I guess the promise wasnt a good one. Haha ,https://media.rtm.com/thegreatexchange/large/27ff4311-17af-41d8-937e-e9dc37e095ad.jpeg,https://media.rtm.com/thegreatexchange/large/27ff4311-17af-41d8-937e-e9dc37e095ad.jpeg,JEWELARY
I never know what to do with jewelry from an ex. I was planning to give back a $$ bracelet and everyone was like what? Are you crazy? You earned that 😝. But I've decided to start offloading.  Starting with these woven bangles. ,https://media.rtm.com/thegreatexchange/large/a6eb4975-d245-47bc-a9ff-80a049cb4f83.jpeg,https://media.rtm.com/thegreatexchange/large/a6eb4975-d245-47bc-a9ff-80a049cb4f83.jpeg,JEWELARY
It didn't fit and not my style so never wore it not sure why I still have it. ,https://media.rtm.com/thegreatexchange/large/959f2957-503b-4569-965d-84c8919bb34b.jpeg,https://media.rtm.com/thegreatexchange/large/959f2957-503b-4569-965d-84c8919bb34b.jpeg,OTHER
These pearls were gifted to my by my ex years ago. I’ve kept them because they are real pearls and what girl doesn’t like a good necklace??? It’s time for these guys to move on though. My husband is less than thrilled about a necklace from another man around my neck!,https://media.rtm.com/thegreatexchange/large/36770512-a3f2-4ad4-a9b2-66dc63a943e8.jpeg,https://media.rtm.com/thegreatexchange/large/36770512-a3f2-4ad4-a9b2-66dc63a943e8.jpeg,JEWELARY
The Sniopy Christmas Tree was a gift from the ex and it is pitiful. Would love to exchange for something else. ,https://media.rtm.com/thegreatexchange/large/ceb16ca0-b2d5-4563-afc5-3ec95fb4a548.jpeg,https://media.rtm.com/thegreatexchange/large/ceb16ca0-b2d5-4563-afc5-3ec95fb4a548.jpeg,CHRISTMAS
Somehow I ended up with this silly lamp.,https://media.rtm.com/thegreatexchange/large/91cb0185-31e8-46e1-b25c-70818dfd7c9c.jpeg,https://media.rtm.com/thegreatexchange/large/91cb0185-31e8-46e1-b25c-70818dfd7c9c.jpeg,ITEM
I still have this...it's ridiculous..I have tried selling it. I can't even give it away lol.  I would love something in exchange!,https://media.rtm.com/thegreatexchange/large/e7e911a9-2bde-4201-9dd2-5b4a32203580.jpeg,https://media.rtm.com/thegreatexchange/large/e7e911a9-2bde-4201-9dd2-5b4a32203580.jpeg,ITEM
Hand made bracelet from old silverware we found at a thrift shop. Had a matching ring. I did get rid of that one.,https://media.rtm.com/thegreatexchange/large/4146a07e-6294-4dc3-a1ba-cb9efe62fc35.jpeg,https://media.rtm.com/thegreatexchange/large/4146a07e-6294-4dc3-a1ba-cb9efe62fc35.jpeg,JEWELARY
This was a teddy bear my high school ex won for me at a county fair. It now sits in my daughters room and is one of her favorite teddy bears. My husband has no idea where it came from. ,https://media.rtm.com/thegreatexchange/large/2666080d-f888-4761-a4b2-534017032240.jpeg,https://media.rtm.com/thegreatexchange/large/2666080d-f888-4761-a4b2-534017032240.jpeg,GIFT
I would give up a ring I got from an ex boyfriend. It has some sentimental value but eventually you have to move on and realize that ship has sailed and that I am happy with my husband and my 2 kids. ,https://media.rtm.com/thegreatexchange/large/c3ee0b09-11a8-499b-be25-4501fbb78279.jpeg,https://media.rtm.com/thegreatexchange/large/c3ee0b09-11a8-499b-be25-4501fbb78279.jpeg,JEWELARY
My EX left his shirt. I should just let it go but it looks so much better on me than it ever did on him. ,https://media.rtm.com/thegreatexchange/large/fe8b32ab-f98e-4b36-9468-3644bc7a379a.jpeg,https://media.rtm.com/thegreatexchange/large/fe8b32ab-f98e-4b36-9468-3644bc7a379a.jpeg,CLOTHING
I was given this peace lily. It was beautiful and healthy for a while but now it's hard to keep the ahem peace. I think it's time to send it off to greener pastures and a greener thumb.,https://media.rtm.com/thegreatexchange/large/a04a2c42-5f2e-4a90-8d4e-da6d84388814.jpeg,https://media.rtm.com/thegreatexchange/large/a04a2c42-5f2e-4a90-8d4e-da6d84388814.jpeg,OTHER
This is a makeup bag my ex bought me for Valentine's Day it's time to exchange it! ,https://media.rtm.com/thegreatexchange/large/aee50b70-3ab7-4fa1-8ea5-560193d4a96b.jpeg,https://media.rtm.com/thegreatexchange/large/aee50b70-3ab7-4fa1-8ea5-560193d4a96b.jpeg,VALENTINE
This whole FIT. No shame though she got me LuLu (1 week before she broke up with me LOL). S/O to all the fabulous singles out there living their best life. Party bus to Chateau Ste Michelle anyone??,https://media.rtm.com/thegreatexchange/large/7aa87910-a556-45e3-a0c9-dc362fcc321d.jpeg,https://media.rtm.com/thegreatexchange/large/7aa87910-a556-45e3-a0c9-dc362fcc321d.jpeg,CLOTHING
My ex bought this for me during our last argument. I have kept it as a reminder to not allow myself to be taken advantage of any longer.,https://media.rtm.com/thegreatexchange/large/3d4a9a0f-15c0-48e7-b4b5-4a3fca5beb5c.jpeg,https://media.rtm.com/thegreatexchange/large/3d4a9a0f-15c0-48e7-b4b5-4a3fca5beb5c.jpeg,JEWELARY
I would like to exchange this air fryer bought by an ex-fling for a housewarming. Much like the relationship it no longer works 🤷🏽‍♀️.,https://media.rtm.com/thegreatexchange/large/7f100934-6bcc-4620-8956-ad7ddb5c9a10.jpeg,https://media.rtm.com/thegreatexchange/large/7f100934-6bcc-4620-8956-ad7ddb5c9a10.jpeg,ITEM
I’m throwing away all of the flowers my ex gave me. Those that are fresh and those that are forever roses. The gifts meant something when we were together and after we split were good for decor but I need to release that from me and my space. ,https://media.rtm.com/thegreatexchange/large/3d6f9d52-539c-43bc-bff2-d884da8873ac.jpeg,https://media.rtm.com/thegreatexchange/large/3d6f9d52-539c-43bc-bff2-d884da8873ac.jpeg,ROSES
He made me this because I wanted a beauty and the beast rose,https://media.rtm.com/thegreatexchange/large/3c9b5f6a-4862-4c3d-b2e6-a8c8310aa0e0.jpeg,https://media.rtm.com/thegreatexchange/large/3c9b5f6a-4862-4c3d-b2e6-a8c8310aa0e0.jpeg,OTHER
The kid’s dad gave me a sun moon & stars flower pot before we ever had kids. It’s been empty ever since kind of like his presence in their lives. I’ve kept it on this shelf with other like items but it’s time to go to someone who can use it to show off a succulent or other small plant. ,https://media.rtm.com/thegreatexchange/large/7492249a-e083-440d-a1fb-25a814418e9a.jpeg,https://media.rtm.com/thegreatexchange/large/7492249a-e083-440d-a1fb-25a814418e9a.jpeg,GIFT
I would like to trade in this egg holder. My ex boyfriend bought me one after I told him I’ve always wanted to use one like they did in the olden days. On Valentine’s Day he surprised me in the morning with breakfast this cup had a halved egg in it with a ring inside. A few months later I found out he was sleeping with a nurse and single mother. I do not eat eggs anymore nor go to nurses. ,https://media.rtm.com/thegreatexchange/large/bd6487aa-7cab-4dec-ae20-7b72dd013fe8.jpeg,https://media.rtm.com/thegreatexchange/large/bd6487aa-7cab-4dec-ae20-7b72dd013fe8.jpeg,VALENTINE
He got it on sale at Walmart. Money isn't everything but I don't wear jewelry either. He didn't even wrap it. No thought into what I like at all! ,https://media.rtm.com/thegreatexchange/large/b779d96e-c1e1-4e68-8239-1da72242687e.jpeg,https://media.rtm.com/thegreatexchange/large/b779d96e-c1e1-4e68-8239-1da72242687e.jpeg,JEWELARY
My ex gave me this Moon Glow necklace. It's what the moon looks like the day you were born (or on whichever date is important to you). My moon was nothing special just a small gray sliver. His moon however was a full blue moon. So he got me his moon. I can obviously no longer wear this necklace but for some reason I haven't gotten rid of it which I should. ,https://media.rtm.com/thegreatexchange/large/df55bd36-6336-4918-a8cf-6bb1314dabdb.jpeg,https://media.rtm.com/thegreatexchange/large/df55bd36-6336-4918-a8cf-6bb1314dabdb.jpeg,JEWELARY
When my ex-boyfriend moved out of the country to go back to Ireland where he is from he left behind this teddy bear to keep me company. We are no longer together but the bear is still here with me. Its time to let him go!,https://media.rtm.com/thegreatexchange/large/8f99bcfa-58ea-4ad5-936c-d1a5fbbdcff8.jpeg,https://media.rtm.com/thegreatexchange/large/8f99bcfa-58ea-4ad5-936c-d1a5fbbdcff8.jpeg,GIFT
Behold my wedding ring.  It’s now ready to be trade in for something more useful! ,https://media.rtm.com/thegreatexchange/large/a04022dc-f5ae-4721-a62b-f8fa88fa7e5a.jpeg,https://media.rtm.com/thegreatexchange/large/a04022dc-f5ae-4721-a62b-f8fa88fa7e5a.jpeg,JEWELARY
"I would like to exchange this wedding ring that my ex destroyed after our marriage because I returned it to him and he had no ""need"" for it so he returned it to me like this 🤦 Like I needed it back let alone looking like this. He is a mechanic so he decided to use one of his tools to ""redo"" the ring as he claims. I got a good laugh about it and we are friends and great at co-parenting. ",https://media.rtm.com/thegreatexchange/large/9560ac9a-4dbc-4492-a2d6-0f983992643b.jpeg,https://media.rtm.com/thegreatexchange/large/9560ac9a-4dbc-4492-a2d6-0f983992643b.jpeg,JEWELARY
He got me a controller for my switch so we could play together ,https://media.rtm.com/thegreatexchange/large/c65ca7aa-9a00-4851-b3d7-70a0aaddb02c.jpeg,https://media.rtm.com/thegreatexchange/large/c65ca7aa-9a00-4851-b3d7-70a0aaddb02c.jpeg,ITEM
I would like to EX-change my EX-boyfriend’s dirty sock… found under my bed 2 days post breakup. It’s missing it’s pair (and now so is he!) ,https://media.rtm.com/thegreatexchange/large/6a251473-f426-47b5-a967-55f941cde8c8.jpeg,https://media.rtm.com/thegreatexchange/large/6a251473-f426-47b5-a967-55f941cde8c8.jpeg,OTHER
My Ex and I used to play Scrabble during wine nights. One Christmas he gifted me a Scrabble dictionary that he wrapped that morning with duct tape and leftover wrapping paper. It was then I realized that we would never really see eye to eye. Christmas is my absolute vibe and he despised every bit of it. All these words and he still didn't know how to communicate. ,https://media.rtm.com/thegreatexchange/large/0120d551-4f04-4ab0-a77f-c76da7f49600.jpeg,https://media.rtm.com/thegreatexchange/large/0120d551-4f04-4ab0-a77f-c76da7f49600.jpeg,CHRISTMAS
My ex's necklace. He left it here and never came back for it,https://media.rtm.com/thegreatexchange/large/540d0b90-fbb8-46ae-b164-7bb9b5cffd96.jpeg,https://media.rtm.com/thegreatexchange/large/540d0b90-fbb8-46ae-b164-7bb9b5cffd96.jpeg,JEWELARY
Him and his mother always bought me bath bombs. I've never liked baths. ,https://media.rtm.com/thegreatexchange/large/c63989e1-489d-4121-af63-baf9e8d8cef6.jpeg,https://media.rtm.com/thegreatexchange/large/c63989e1-489d-4121-af63-baf9e8d8cef6.jpeg,ITEM
This was a Valentine’s Day gift and I would like to EXchange it please! ,https://media.rtm.com/thegreatexchange/large/9989ccc3-1b17-447c-923f-92abed81b3e5.jpeg,https://media.rtm.com/thegreatexchange/large/9989ccc3-1b17-447c-923f-92abed81b3e5.jpeg,VALENTINE
This pen was used to say GOODBYE! ,https://media.rtm.com/thegreatexchange/large/26d0214b-ea70-46ae-8b78-77f541099479.jpeg,https://media.rtm.com/thegreatexchange/large/26d0214b-ea70-46ae-8b78-77f541099479.jpeg,GIFT
This is the necklace my ex got me for our 5 year anniversary. He knew that I don't like the look of silver or multiple chains but he still knowingly got it . I'd much rather have wine,https://media.rtm.com/thegreatexchange/large/789ad3fb-000f-4f3b-bbf7-1ef8328767c9.jpeg,https://media.rtm.com/thegreatexchange/large/789ad3fb-000f-4f3b-bbf7-1ef8328767c9.jpeg,ANNIVERSARY
My ex bought this for me for our 1 year anniversary only to find out that it was actually supposed to go to another woman. Needless to the other woman and myself are friends and he is gone.,https://media.rtm.com/thegreatexchange/large/ac7f360a-e628-4eef-a2f2-2356a2154b23.jpeg,https://media.rtm.com/thegreatexchange/large/ac7f360a-e628-4eef-a2f2-2356a2154b23.jpeg,ANNIVERSARY
This was a painting he bought when we first moved in together. It was supposed to be a place we would eventually vacation to or somewhere similar. We never made that adventure as he never kept a job longer then a month. Not sure why I even have it still. ,https://media.rtm.com/thegreatexchange/large/8f0ea6ba-2059-48ee-85cf-c453ddfd4eb8.jpeg,https://media.rtm.com/thegreatexchange/large/8f0ea6ba-2059-48ee-85cf-c453ddfd4eb8.jpeg,CLOTHING
I still have this shirt which I got from my ex for my birthday. I just can’t bring myself to get rid of it because it’s honestly so comfy. It’s also one of the only “dressy” shirts I have to wear for special occasions. ,https://media.rtm.com/thegreatexchange/large/3fc67d91-ee79-42e9-9a94-0ab1c834b351.jpeg,https://media.rtm.com/thegreatexchange/large/3fc67d91-ee79-42e9-9a94-0ab1c834b351.jpeg,BIRTHDAY
He left his “lucky basketball” at my moms 18 years ago after he cheated on me with my best friend at the time. My mom just cleaned out my old room and brought it to me. I let my dog chew it apart yesterday…. He was still looking for it a few years ago …,https://media.rtm.com/thegreatexchange/large/dd7ed656-d2e8-4752-8a38-adc21f05f979.jpeg,https://media.rtm.com/thegreatexchange/large/dd7ed656-d2e8-4752-8a38-adc21f05f979.jpeg,ANIMAL
Really!? I mean REALLY!? Was he just an idiot and thought this would be a great Valentine's Day gift?? Did he just buy it for HIMSELF?? Is there a hidden message because it's a large or small-mouth bass (whichever)?? Add this to a virtual plethora of dumb things he did when we were married.  A girl has her dignity after all... ,https://media.rtm.com/thegreatexchange/large/4710d18c-9a0f-43f9-a419-ad49272508d2.jpeg,https://media.rtm.com/thegreatexchange/large/4710d18c-9a0f-43f9-a419-ad49272508d2.jpeg,VALENTINE
Ahh Valentine’s Day 2019. Can’t bear to throw this little cutie out. Kept the bear and got rid of the boy 🤷🏻‍♀️,https://media.rtm.com/thegreatexchange/large/a916b580-975e-474e-aefd-7c54ea54279b.jpeg,https://media.rtm.com/thegreatexchange/large/a916b580-975e-474e-aefd-7c54ea54279b.jpeg,VALENTINE
Pierre was a gift from a short lived relationship in 2006. The guy is long gone but Pierre's part of the family at this point. He's stayed by my side thru multiple moves - even joined a road trip from California to Canada!  ,https://media.rtm.com/thegreatexchange/large/83f764d1-7db5-46af-89b0-4e7826216f24.jpeg,https://media.rtm.com/thegreatexchange/large/83f764d1-7db5-46af-89b0-4e7826216f24.jpeg,TRIP
"She left her crystal head and tiara thing that had fallen off our dresser. Haven't thrown it away but not sure what to do with it
 Let's EXchange it! ",https://media.rtm.com/thegreatexchange/large/cd98ee4b-6ec0-4c98-912d-ecc0914efceb.jpeg,https://media.rtm.com/thegreatexchange/large/cd98ee4b-6ec0-4c98-912d-ecc0914efceb.jpeg,CLOTHING
Exchange this heart piece my Ex gave me before she broke up with me..,https://media.rtm.com/thegreatexchange/large/ba73f172-5485-4cee-b202-d5fdf9a20013.jpeg,https://media.rtm.com/thegreatexchange/large/ba73f172-5485-4cee-b202-d5fdf9a20013.jpeg,OTHER
His ring. That he thought I sold. That was actually behind the dresser. ,https://media.rtm.com/thegreatexchange/large/d78e931c-35b1-4d1d-8653-ed71f2ec1057.jpeg,https://media.rtm.com/thegreatexchange/large/d78e931c-35b1-4d1d-8653-ed71f2ec1057.jpeg,JEWELARY
This hat was given to me by an ex. I love batman so he bought me this hat randomly one day. We were only together for a short time and the only reason I hang on to it is because I love hats and have a collection of them,https://media.rtm.com/thegreatexchange/large/be32dc80-ff3d-429f-8461-17f37b61a8fd.jpeg,https://media.rtm.com/thegreatexchange/large/be32dc80-ff3d-429f-8461-17f37b61a8fd.jpeg,CLOTHING
Handmade clay mug with my initials on there. we went to one of those clay studios together to make things for each other. It’s a perfectly good mug but can’t handle drinking anything out of it. ,https://media.rtm.com/thegreatexchange/large/f12a0191-6180-49dc-be5c-bd4175d29c7d.jpeg,https://media.rtm.com/thegreatexchange/large/f12a0191-6180-49dc-be5c-bd4175d29c7d.jpeg,ITEM
I would exchange this table because as much as I loved him I loved this table and I would love to let it go!  This was a table that was a family heirloom for him and I no longer want it so I will exchange it for this wonderful Valentine's gift and thank you for the opportunity to do so!!,https://media.rtm.com/thegreatexchange/large/e4e015df-b132-46ad-a1e3-e9fe0e3eaf70.jpeg,https://media.rtm.com/thegreatexchange/large/e4e015df-b132-46ad-a1e3-e9fe0e3eaf70.jpeg,VALENTINE
